Indications,Generics indicated,Indications Details,Therapeutic Class,Medicine Name,Weight (mg),Weight (ml/other),Tablet,Syrup,Ointment,Drop,Injection,Manufacturer
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Abdorin,10 mg,5 ml,1,1,0,0,0,Opsonin Pharma Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Abdorin,10 mg,,1,0,0,0,0,Opsonin Pharma Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Colicon,10 mg,,1,0,0,0,0,Square Pharmaceuticals PLC
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Colicon,10 mg,5 ml,1,1,0,0,0,Square Pharmaceuticals PLC
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Cyclopan,10 mg,,1,0,0,0,0,Incepta Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Cyclopan,10 mg,5 ml,1,1,0,0,0,Incepta Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Cyclopan,20 mg,2 ml,1,1,0,0,0,Incepta Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Dirin,10 mg,,1,0,0,0,0,Alco Pharma Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Dirin,10 mg,5 ml,1,1,0,0,0,Alco Pharma Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Diverin,10 mg,5 ml,1,1,0,0,0,ACI Limited
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Diverin,20 mg,,1,0,0,0,0,ACI Limited
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Ibspa,10 mg,,1,0,0,0,0,Pacific Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Ibspa,10 mg,5 ml,1,1,0,0,0,Pacific Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Loverin,10 mg,,1,0,0,0,0,Beximco Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Robentyl,10 mg,,1,0,0,0,0,Healthcare Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Robentyl,10 mg,5 ml,1,1,0,0,0,Healthcare Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Winspa,10 mg,,1,0,0,0,0,Apex Pharmaceuticals Ltd.
Abdominal colic,Dicycloverine Hydrochloride,"Dicycloverine is indicated in:

Functional bowel/irritable bowel syndrome
Urinary incontinence secondary to unstable detrusor muscle
Infantile colic
GIT spasm
Colicky abdominal pain
Diverticulitis
Abdominal colic",Anticholinergics (antimuscarinics)/ Anti-spasmodics,Winspa,10 mg,5 ml,1,1,0,0,0,Apex Pharmaceuticals Ltd.
Abdominal cramps,Loperamide Hydrochloride,"Loperamide Hydrochloride is indicated in-

Acute diarrhea
Chronic diarrhea
Abdominal cramps associated with diarrhea
Crohn's disease
Postgastric surgery
Ulcerative colitis.","Anti-diarrhoeal, Anti-motility drugs",Imotil,2 mg,,1,0,0,0,0,Square Pharmaceuticals PLC
Abdominal cramps,Loperamide Hydrochloride,"Loperamide Hydrochloride is indicated in-

Acute diarrhea
Chronic diarrhea
Abdominal cramps associated with diarrhea
Crohn's disease
Postgastric surgery
Ulcerative colitis.","Anti-diarrhoeal, Anti-motility drugs",Lopamid,2 mg,,1,0,0,0,0,ACME Laboratories Ltd.
Abdominal cramps,Loperamide Hydrochloride,"Loperamide Hydrochloride is indicated in-

Acute diarrhea
Chronic diarrhea
Abdominal cramps associated with diarrhea
Crohn's disease
Postgastric surgery
Ulcerative colitis.","Anti-diarrhoeal, Anti-motility drugs",Lopera,1 mg,5 ml,1,1,0,0,0,Beximco Pharmaceuticals Ltd.
Abdominal cramps,Loperamide Hydrochloride,"Loperamide Hydrochloride is indicated in-

Acute diarrhea
Chronic diarrhea
Abdominal cramps associated with diarrhea
Crohn's disease
Postgastric surgery
Ulcerative colitis.","Anti-diarrhoeal, Anti-motility drugs",Loperin,2 mg,,1,0,0,0,0,Opsonin Pharma Ltd.
Abdominal cramps,Loperamide Hydrochloride,"Loperamide Hydrochloride is indicated in-

Acute diarrhea
Chronic diarrhea
Abdominal cramps associated with diarrhea
Crohn's disease
Postgastric surgery
Ulcerative colitis.","Anti-diarrhoeal, Anti-motility drugs",Loramide,2 mg,,1,0,0,0,0,Bristol Pharmaceuticals Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",Magnide,365 mg,,1,0,0,0,0,Square Pharmaceuticals PLC
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",Magnito,365 mg,,1,0,0,0,0,Everest Pharmaceuticals Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",Magnox,365 mg,,1,0,0,0,0,Nuvista Pharma Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",Magnum,365 mg,,1,0,0,0,0,Opsonin Pharma Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",MagVital,365 mg,,1,0,0,0,0,UniMed UniHealth Pharmaceuticals Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",MegaMag,365 mg,,1,0,0,0,0,Navana Pharmaceuticals Ltd.
Abdominal cramps,Magnesium Oxide,"Magnesium Oxide is indicated for the treatment of following condition:

    Relieving the symptoms of magnesium deficiency
    Heart and vascular system: Heartbeat acceleration, heartbeat irregularities, heart attack, angina pectoris, mild severe hypertension
    Nerve and muscles: Sudden and excess spasm in muscle (tetani), spasm formation in muscle, stomach-intestine cramps, increased stimulability of muscle and nerves, calf cramps, cases with cramps and stress in new-born or small children
    Gynecological diseases, related to birth and baby: Preterm spasms, cervical failure, early membrane rupture, spasm in pregnancy (eclampsia/pre-eclampsia, tocolysis necessary to use betamimetic), menstrual period with pain
    Orthopedics: Calcification and ossifications
    Prevention of renal calculus formation: Prevention of renal calculus formation (prevention of repetition of calcium oxalate urolithiasis)
    Treatment of diabetic and migraine (a type of headache)","Antacids, Electrolytes preparations, Oral electrolytes preparations",Mg,365 mg,,1,0,0,0,0,Beacon Pharmaceuticals PLC
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Avlocid MS,(480 mg+20 mg),5 ml,1,1,0,0,0,ACI Limited
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Digecid,(480 mg+20 mg),5 ml,1,1,0,0,0,Beximco Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Duocid,(480 mg+20 mg),5 ml,1,1,0,0,0,OSL Pharma Limited
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Gastid,480 mg+20 mg,,1,0,0,0,0,Eskayef Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Gastid (Orange Flavor),(480 mg+20 mg),5 ml,1,1,0,0,0,Eskayef Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Gastid M (Mango Flavor),(480 mg+20 mg),5 ml,1,1,0,0,0,Eskayef Pharmaceuticals Ltd.
